id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
0_0,-4.0411,14.8012,0.0609,0.0,0.0,0.28504176452409563,0.9585150976781691
0_1,-2.9346,15.217,0.1191,0.0,0.0,0.2535031574171069,0.9673345590743451
0_2,-1.8694,15.522,0.1615,0.0,0.0,0.23357230571294973,0.9723394355902348
0_3,-0.6498,15.8387,0.2083,0.0,0.0,0.2145196460823314,0.9767196739314261
0_4,0.5285,16.1056,0.3107,0.0,0.0,0.20772631809948017,0.9781869845631936
0_5,1.5222,16.3474,0.385,0.0,0.0,0.20390981877387518,0.9789896760475084
0_6,2.8081,16.5599,0.4622,0.0,0.0,0.19768916504590728,0.9802647571056771
0_7,3.8576,16.7225,0.5157,0.0,0.0,0.193913689932429,0.9810185935326556
0_8,4.9643,16.9175,0.5865,0.0,0.0,0.18915348774396654,0.981947533259437
0_9,6.0978,17.0766,0.6409,0.0,0.0,0.18433969330208616,0.9828625933838834
0_10,7.1956,17.2554,0.7457,0.0,0.0,0.17883280110798688,0.9838794790256941
0_11,8.3113,17.4225,0.8314,0.0,0.0,0.1665699584504029,0.9860296389773642
0_12,9.461,17.6151,0.9268,0.0,0.0,0.1480537069673408,0.9889793222576642
0_13,10.5559,17.7027,1.0071,0.0,0.0,0.12685726477957943,0.9919209819197513
0_14,11.71,17.7228,1.0841,0.0,0.0,0.10062938794745194,0.9949239801519115
0_15,12.8574,17.6873,1.1842,0.0,0.0,0.07542829229481046,0.9971512286115325
0_16,13.9516,17.5774,1.2337,0.0,0.0,0.049030334112921924,0.9987972899126105
0_17,15.0587,17.4689,1.345,0.0,0.0,0.022348139325160554,0.9997502491466073
0_18,16.1904,17.3516,1.4059,0.0,0.0,-0.0091998702192159,0.9999576802984962
0_19,17.3026,17.1353,1.5018,0.0,0.0,-0.043636140099257426,0.9990474900009698
0_20,18.3513,16.7107,1.6129,0.0,0.0,-0.08031340824788576,0.9967696606817487
